NEIGHBORHOOD,APN,LANDUSE,BESTSTAT,BESTDATE,NAMEADDR,Alias,CASENO,DESCRIPT,BPAPPLNO,PROPUSE,DBIDESC,UNITS,UNITSNET,AFFORDABLE,AFFORDABLENET,TOTAL_GSF,NET_GSF,CIE,CIENET,MED,MEDNET,MIPS,MIPSNET,PDR,PDRNET,RET,RETNET,VISIT,VISITNET,FirstFiled,EntitledStatus,SPONSOR,CONTACT,CONTACTPH,PLANNER,SOURCE,SUPE_DIST,PLN_DISTRICT,PLN_AREA,HEIGHT,ZONING_SIM,ZONE_NAME,geography
South of Market,APN 3730023,Mixres,PL FILED,07/29/2013,1174 - 1178 FOLSOM ST,,2012.1553,"The proposed project would involve merging two existing lots, demolition of two existing two-story structures, and the constuction of new 6 story, 65' tall building with basement parking. The proposed project would include retail on the first floor, offi",201508265383,APARTMENTS,,42,42,0,0,9901,10081,0,0,0,0,5493,3493,0,2180,4408,4408,0,0,07/29/2013,0,Erik Liu,Erik Liu,314-8700,JKUGLER,CASE TRACKING,SUPERVISORIAL DISTRICT 6,South of Market,Western SoMa (EN) / South of Market,65-X,NCT,FOLSOM STREET NEIGHBORHOOD COMMERCIAL TRANSIT,"(37.77571411610, -122.40974319600)"
Downtown/Civic Center,APN 0717003,Resident,PL FILED,12/07/2015,719 LARKIN ST,,2015-005329PRJ,"Demolish existing one-story over basement commercial building and construct a new mixed use 8-story building consisting of a basement level storage and residential parking garage, 1,400 SF ground floor retail, and 42 residential units.",,,,42,42,0,0,1400,-4000,0,0,0,0,0,0,0,0,1400,-4000,0,0,07/31/2015,0,,,,,CASE TRACKING,SUPERVISORIAL DISTRICT 6,Downtown,,80-T,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY","(37.78454646320, -122.41807273900)"
Western Addition,APN 0855016,Mixres,PL APPROVED,06/22/2015,1700 MARKET ST,,2013.1179,"43 unit,  8 story residential building with ground floor commerical.",,,,42,42,5,5,1474,-1926,0,0,0,0,0,0,0,0,1474,-1926,0,0,07/02/2014,-1,Warner Schmalz,Warner Schmalz,415-252-7063,TCHANG,CASE TRACKING,SUPERVISORIAL DISTRICT 5,Buena Vista,Market and Octavia,85-X,NCT-3,MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT,"(37.77295341440, -122.42244714300)"
Chinatown,APN 0256016,Resident,PL FILED,04/01/2015,875 CALIFORNIA ST / 770 POWELL ST,,2014-000609PRJ,"The project proposes to demolish a parking structure at 875 California and parking lot at 770 Powell Street and construct a 52,400 gsf residential building, with 15,150 gsf parking in the basement.",,,,41,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/22/2014,0,,,,KGUY,CASE TRACKING,SUPERVISORIAL DISTRICT 3,Northeast,,65-A,RM-4,"RESIDENTIAL- MIXED, HIGH DENSITY","(37.79178338090, -122.40891480100)"
Castro/Upper Market,APN 3559008,Mixres,PL FILED,02/26/2015,2238 - 2254 MARKET ST,,2014.151,"This is a Priority Processing Application for Type 3: LEED Platinum.  The project includes a vertical addition of 3-4 floors of residential dwelling units on top of an existing building at 2248-2254 Market Street, which is to be retained.  A new construc",,,,44,41,0,0,5573,-3827,5573,-3827,0,0,0,0,0,0,0,0,0,0,09/30/2014,0,,,,DWASHING,CASE TRACKING,SUPERVISORIAL DISTRICT 8,Central,Market and Octavia,40-X,NCT,UPPER MARKET NEIGHBORHOOD COMMERCIAL TRANSIT,"(37.76453931250, -122.43121464300)"
Western Addition,APN 0808039,Mixres,CONSTRUCTION,12/29/2015,450 HAYES ST,,2012.0081,"The proposed project would construct a new 4-story residential building with 41 residential units, 20 parking spaces, and 3,300 sf of retail space. The proposed building would be 17,399 sf with a full basement level.  The lobby and two retail store front",201306260573,,"TO ERECT 4 STORIES, 4 BASEMENTS, 41 RESIDENTIAL CONDO, RETAIL & PARKING.",41,41,5,5,3300,3300,0,0,0,0,0,0,0,0,3300,3300,0,0,07/18/2012,-1,Mark MacDonald,Mark MacDonald,415-692-5060,KGUY,CASE TRACKING,SUPERVISORIAL DISTRICT 5,Western Addition,Market and Octavia,40-X,NCT,HAYES NCT,"(37.77703611220, -122.42387937600)"
Potrero Hill,APN 4108017,Resident,PL FILED,09/12/2013,901 TENNESSEE ST,,2013.0321,"The proposed project would include demolition of an existing one-story warehouse and construction of a new four-story, residential building.  The building shall consist of four residential levels with 39 units, over basement level with parking and mechan",,,,39,39,6,6,0,-9000,0,0,0,0,0,0,0,-9000,0,0,0,0,09/12/2013,0,William Mollard,William Mollard,409-9267,RSUCRE,CASE TRACKING,SUPERVISORIAL DISTRICT 10,South of Market,Central Waterfront (EN),40-X,UMU,URBAN MIXED USE,"(37.76022721120, -122.38915380700)"
South of Market,APN 3726103,Mixres,PL APPROVED,05/11/2015,119 07TH ST,,2012.0673,"A new 8-story residential development consisting of 48 dwelling units, 1 level of below-grade parking with 15 spaces, and 2,795 sf of ground floor retail.",201406249298,APARTMENTS,ERECT NEW MIXED-USED 8 STORY 39 RESIDENTIAL UNITS APARTMENT/PARKING LOT. MAHER ORDINANE IS NOT REQUIRED.,39,39,0,0,2795,-29605,0,0,0,0,0,0,0,0,2795,2795,0,-32400,08/14/2012,-1,Nicole Belcore,Andrew J. Junius,415 567-9000,RSUCRE,CASE TRACKING,SUPERVISORIAL DISTRICT 6,Downtown,East SoMa (EN) / South of Market,85-X,MUG,MIXED USE-GENERAL,"(37.77907287020, -122.41031238200)"
South of Market,APN 3732028,Mixres,BP FILED,12/29/2014,980 FOLSOM ST,,2013.0977,"The proposal is to demolish the exiting 7,530 square-foot (sf), single-story auto repair building, and construct a new mixed-use building fronting on Folsom and Clemintina Streets. The proposed project would consist of approximately 36,494 sf containing",201412294591,APARTMENTS,"DEMOLISH 1-STORY WITH MEZZ, AUTOBODY REPAIR AND PAINT SHOP BUILDING.",38,38,4,4,765,-6765,0,0,0,0,0,0,0,-7530,765,765,0,0,07/23/2013,0,,,,CTOWNES,CASE TRACKING,SUPERVISORIAL DISTRICT 6,South of Market,Central SoMa / East SoMa (EN) / South of Market,85-X,MUR,MIXED USE-RESIDENTIAL,"(37.77901663150, -122.40536411200)"
South of Market,APN 3755054,Mixres,PL FILED,11/05/2015,349 08TH ST,,2015-004085PRJ,Construct a new 5-story mixed-use residential building consisting of 38 residential units with associated private and common open space.,,,,38,38,0,0,1236,1236,0,0,0,0,0,0,0,0,1236,1236,0,0,10/21/2015,0,,,415-649-6202,KDURANDE,CASE TRACKING,SUPERVISORIAL DISTRICT 6,South of Market,Western SoMa (EN) / South of Market,55-X,WMUG,WSOMA MIXED USE-GENERAL,"(37.77468323480, -122.40918920400)"
Downtown/Civic Center,APN 0670011,Resident,BP FILED,07/16/2015,1238 SUTTER ST,,2013.1238,,201507161644,APARTMENTS,CONSTRUCT 9-STORY MIXED-USE W/ 2 COMMERCIAL GROUND FLOOR LEASE SPACES AND 8-STORY OF RESIDENTIAL W/,37,37,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/16/2015,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 3,Downtown,Van Ness Corridor,130-V,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY","(37.78792924600, -122.42082397100)"
Potrero Hill,APN 4059001C,Mixres,PL FILED,03/06/2014,2230 3RD ST,,2013.0531,The proposed project would result in the demolition of an existing commercial warehouse building (Tire Dealer) and construct a new 7-story mixed-use commercial and residential building with ground floor commercial/residential flex space and residential p,,,,37,37,0,0,2399,-3201,0,0,0,0,0,0,0,0,2399,-3201,0,0,03/06/2014,0,Marc Dimalanta,Marc Dimalanta,415-252-0888,JBANALES,CASE TRACKING,SUPERVISORIAL DISTRICT 10,South of Market,Central Waterfront (EN),68-X,UMU,URBAN MIXED USE,"(37.76124702980, -122.38894070000)"
South of Market,APN 3731003,Mixres,CONSTRUCTION,10/20/2014,226 06TH ST,,2009.0089,Vertical addition of 4th floor to existing hotel.,200806164548,APARTMENTS,"VERTICAL ADDITION AND REVONATION OF A HOTEL. MECH, ELEC,PLUMBING, FIRE SPRINKLER UNDER SEPARATE PERMIT",76,37,0,0,16425,5445,0,0,0,0,0,0,0,0,0,0,16425,5445,06/16/2008,-1,,,,PLAVALLE,PERMIT TRACKING,SUPERVISORIAL DISTRICT 6,South of Market,East SoMa (EN) / South of Market,65-X,NCT,SOMA NEIGHBORHOOD COMMERCIAL TRANSIT,"(37.77915909870, -122.40682647800)"
South of Market,APN 3510058,Resident,PL FILED,11/03/2015,915 - 935 MINNA ST,,2015-002600PRJ,"Proposed new construction of a residential building (4 stories above ground).

The PPA was submitted on 3/2/15 and the 90 day deadline is 5/31/2015.",,,,37,37,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,03/18/2015,-1,Equity Community Builders,,4156516200,DVU,CASE TRACKING,SUPERVISORIAL DISTRICT 6,Downtown,Western SoMa (EN) / South of Market,45-X,RED-MX,RESIDENTIAL ENCLAVE-MIXED,"(37.77428673160, -122.41579957600)"
Bayview,APN 4591C099,Resident,CONSTRUCTION,01/15/2016,50 JERROLD AV,,,,200912223673,APARTMENTS,"TO ERECT 5 STORY, 34 RESIDENTIAL UNITS WITH PARKING. NO BASEMENT.",34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/22/2009,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South Bayshore,Hunters Point Shipyard,HP-RA,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY","(37.72765156750, -122.36923961200)"
Inner Richmond,APN 1450008,Mixres,BP ISSUED,06/11/2015,5400 GEARY BL,ALEXANDRIA THEATER,2004.0482,Existing theater building would be preserved - second floor would be expanded to create a full second floor full-service restaurant (preserving one theater screen) and ground floor would be for retail use.   New four-story mixed-use building would be con,200806275522,,"ERECT  A 4 STORIES, 39 DWELLING UNITS (RESIDENTIAL CONDO/COMM & GARAGE.)",37,37,4,4,2500,-10748,0,0,0,0,0,0,0,0,2500,-10748,0,0,06/01/2004,-1,Patrick Luy,David Silverman,567-9000,MWOODS,CASE TRACKING,SUPERVISORIAL DISTRICT 1,Richmond,,40-X,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE","(37.78110655500, -122.47759248000)"
Downtown/Civic Center,APN 0343014,Mixres,BP ISSUED,09/09/2015,181 TURK ST / 180 JONES ST,,2005.0267,"Build 32 dwellings, ground floor commercial space and 8 off-street parking spaces on site authorized as vacant, but used as parking lot.",200608230323,APARTMENTS,"ERECT 8 STORIES OVER BASEMENT RESIDENTIAL, RETAIL & PARKING BUILDING.",37,37,4,4,3060,3060,0,0,0,0,0,0,0,0,3060,3060,0,0,03/16/2005,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 6,Downtown,,80-T-120-T,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY","(37.78282592030, -122.41215509400)"
Mission,APN 3532005,Mixres,PL FILED,07/14/2015,1726 - 1730 MISSION ST,,2014-002026PRJ,"Demolition of an existing vacant two (2) story industrial building.  New construction of a six (6) story, 68 ft tall mixed-use building.  Including: ground floor commercial space, an at-grade 29 car parking garage and 36 dwelling units on five (5) storie",,,,36,36,0,0,900,-14700,0,0,0,0,0,0,0,-15600,900,900,0,0,11/24/2014,0,,,,,CASE TRACKING,SUPERVISORIAL DISTRICT 9,Mission,Mission (EN),68-X,UMU,URBAN MIXED USE,"(37.76935930260, -122.42039943000)"
Bayview,APN 4591C095,Resident,CONSTRUCTION,12/11/2015,401 INNES AV,,,,200912223671,APARTMENTS,"TO ERECT 5 STORY, 35 RESIDENTIAL UNITS WITH PARKING. (NO BASEMENT)",35,35,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/22/2009,-1,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 10,South Bayshore,Hunters Point Shipyard,HP-RA,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY","(37.72813472500, -122.36944214900)"
Nob Hill,APN 0619012,Mixres,CONSTRUCTION,01/13/2016,1860 VAN NESS AV,,2004.089,"The proposed project is demolition of a gas station on a 8,960-gsf site at the corner of Van Ness Avenue and Washington Street and construction of a 8-story 58,065-gsf residential mixed-use structure with 35 dwelling units, and 35 parking spaces in two s",200602215057,APARTMENTS,"TO ERECT 7 STORIES, 35 DWELLING UNITS OF RESIDENTIAL & RETAIL STORE.",35,35,0,0,1625,1625,0,0,0,0,0,0,0,0,1625,1625,0,0,12/20/2005,-1,Tuija Catalano,Tuija Catalano,567-9000,JKUGLER,CASE TRACKING,SUPERVISORIAL DISTRICT 3,Northeast,Van Ness Corridor,80-D,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY","(37.79291125530, -122.42241383400)"
Downtown/Civic Center,APN 0837003,Mixres,CONSTRUCTION,01/12/2016,1 FRANKLIN ST,,2010.0102,"Construct a new 8-story, 35-unit mixed-use building with ground-floor commercial.  See 2008.1328",200912032516,,CONSTRUCTION OF 8-STORY 35 DWELLING UNITS W/RETAIL & PARKING.,35,35,5,5,2384,2384,0,0,0,0,0,0,0,0,2384,2384,0,0,12/03/2009,-1,John Ramsbacher,Warner Schmalz,415-252-7063,TFRYE,CASE TRACKING,SUPERVISORIAL DISTRICT 5,Buena Vista,Market and Octavia,85-X,NCT-3,MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT,"(37.77442891680, -122.42111019300)"
Mission,APN 3644021,Mixres,BP FILED,02/19/2015,1278 - 1298 VALENCIA ST,,2013.1404,"The proposed project would replace existing gas station with a six story mixed use residential building.  Provide retail facilities on the ground floor and 35 residential units on the remaining 5 stories above. 33,939sf residential units & 3,737sf retail",201502198775,APARTMENTS,"ERECT 6-STORY, 35 DWELLING UNITS, TYPE III, RESIDENTIAL & RETAIL BUILDING.",35,35,0,0,3737,-5889,0,0,0,0,0,0,0,-9626,3737,3737,0,0,09/30/2013,0,,,,DVU,CASE TRACKING,SUPERVISORIAL DISTRICT 8,Mission,Mission (EN),55-X,NCT,VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT,"(37.75230964160, -122.42097736700)"
Excelsior,APN 5992A060,Resident,PL FILED,05/15/2014,495 CAMBRIDGE ST,,2013.1711,"The project will be a PUD under Section 304.  The existing vacant Fellowship Academy Day Care Facility will be demolished, and the 200 block of Yale Street will be extended into the site.  The lot will be subdivided into 34 new parcels for single family",,,,34,34,0,0,0,-23000,0,-23000,0,0,0,0,0,0,0,0,0,0,05/15/2014,0,Peter Naughton,Bruce Baumann,415 551-7884,CTOWNES,CASE TRACKING,SUPERVISORIAL DISTRICT 9,South Central,,40-X,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY","(37.72571853320, -122.41731963700)"
Downtown/Civic Center,APN 0670024,Resident,PL FILED,09/22/2015,1433 BUSH ST,,2015-009279PRJ,"The proposed project is to demolish an existing one-story commercial building containing an automotive rental use and new construction of a 128-foot tall, 10-soty mixed-use building containing 34 dwelling units, 20 residential parking spaces and 1357 squ",,,,34,34,0,0,1357,-5243,0,0,0,0,0,0,0,0,1357,-5243,0,0,09/22/2015,0,,,,,CASE TRACKING,SUPERVISORIAL DISTRICT 3,Downtown,Van Ness Corridor,130-V,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY","(37.78836325390, -122.42084130500)"
Inner Sunset,APN 2636025,Resident,PL APPROVED,03/07/2014,SAN FRANCISCO OVERLOOK,599 CRESTMONT DR,2004.0093,"The proposed project would involve the construction of 34 dwelling units and 40 off-street parking spaces in four new buildings on an undeveloped site.  The residential buildings would four stories in height, approximately 20 feet in height from grade.",,,,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01/27/2004,-1,,,,,CASE TRACKING,SUPERVISORIAL DISTRICT 7,Inner Sunset,,40-X,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY","(37.75894098850, -122.46078167200)"
Financial District,APN 0166003,Mixres,PL FILED,12/10/2015,240 PACIFIC AV,,2013.1757,"The project site consists of three adjacent lots fronting both Battery Street and Pacific Avenue, which total 11,680 sf. The site is currently improved with surface parking lots and a single-story commercial sturcture. The project would demolish the exis",201508134190,,,31,31,0,0,2018,625,0,0,0,0,0,0,0,0,2018,625,0,0,08/27/2014,-1,Andrew Junius,Andrew Junius,567-9000,TCHANG,CASE TRACKING,SUPERVISORIAL DISTRICT 3,Northeast,Northeast Waterfront,84-E,C-2,COMMUNITY BUSINESS,"(37.79786972610, -122.40045152400)"
South of Market,APN 3725068,Resident,PL FILED,04/02/2015,475 MINNA ST,,2014.1442,Construct a 9-story residential apartment building with 25% open space in rear yard.,,,,30,30,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/17/2014,0,Stanton Architecture,,4158659600,TCHANG,CASE TRACKING,SUPERVISORIAL DISTRICT 6,Downtown,Central SoMa / Downtown,120-F,C-3-S,DOWNTOWN SUPPORT,"(37.78092254820, -122.40739196400)"
Western Addition,APN 0807010,Resident,CONSTRUCTION,10/16/2015,580 HAYES ST,,,,201312093685,,ERECT 4-STORY TYPE V NEW BUILDING.,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12/09/2013,-1,Ali Kia Shabahangi,Steven Vettel,415 268 6171,MLI,CASE TRACKING,SUPERVISORIAL DISTRICT 5,Western Addition,Market and Octavia,55-X,NCT,HAYES NCT,"(37.77675667670, -122.42602925600)"
Mission,APN 6568032,Mixres,PL FILED,08/03/2015,3620 CESAR CHAVEZ ST,,2015-009459PRJ,Demolish Existing 1 story office Building with surface parking.  New Construction of Residential Building.,,,,28,28,0,0,940,940,0,0,0,0,0,0,0,0,940,940,0,0,08/03/2015,0,,,,,CASE TRACKING,SUPERVISORIAL DISTRICT 8,Mission,Mission (EN),65-X,NCT,VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT,"(37.74832286070, -122.42191078500)"
Nob Hill,APN 0620006,Resident,PL APPROVED,11/15/2013,1601 LARKIN ST,,2013.089,27 Unit residential building and parking for 32 cars parking. Demolition of existing vacant former church & construction of a 27-unit residential building & prking for 32 cars. This application is filed as part of a settlement of pending litigation betwe,,,,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/03/2013,-1,Bruce Baumann,Bruce Baumann,415-397-7416,JKUGLER,CASE TRACKING,SUPERVISORIAL DISTRICT 3,Northeast,,65-A,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY","(37.79277873080, -122.41976349100)"
South of Market,APN 3518020,Mixres,BP FILED,06/15/2015,241 10TH ST,,2014.0666,"The proposed project is to demolish the existing 10,189 square foot car-rental office building and construct a new 5-story, 55-foot tall, 32-dwelling unit, mixed-use building.  The existing building on the subject 9,000 sf lot was constructed in 1921.  T",201506159021,201506159021,ERECT 5 STORIES OF 28 DWELLING UNITS. MIX USE BUILDING.,28,28,0,0,1813,-8376,0,0,0,0,0,0,0,0,1813,-8376,0,0,05/01/2014,0,,,,JBANALES,CASE TRACKING,SUPERVISORIAL DISTRICT 6,South of Market,Western SoMa (EN) / South of Market,55-X,RCD,REGIONAL COMMERCIAL,"(37.77364986310, -122.41343718100)"
Mission,APN 3502108,Resident,BP FILED,08/05/2014,198 VALENCIA ST,,,,201408053094,APARTMENTS,"TO ERECT 5 STORIES, NO BASEMENT, 28 UNITS RESIDENTIAL CONDO AND COMMERCIAL BUILDING.
** MAHER: COMPL",28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/05/2014,0,,,,,PERMIT TRACKING,SUPERVISORIAL DISTRICT 8,Mission,Market and Octavia,50-X,NCT-3,MODERATE SCALE NEIGHBORHOOD COMMERCIAL TRANSIT DISTRICT,"(37.77009628350, -122.42268628500)"
Potrero Hill,APN 4224015,Resident,BP APPROVED,01/16/2009,1004 MISSISSIPPI ST,,2008.0705,"Construct 28 dwelling units and 28 parking spaces in an underground garage on a vacant lot. The building would be approximately 57,974 sq. ft. and approxomately 40 feet in height.",200705010141,,"ERECT 4 STORIES, 28 UNITS, 3 BASEMENTS, RESIDENTIAL CONDOMINIUM BUILDING.",28,28,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/01/2007,-1,John Conomos,Bruce Baumann,415-551-7884,AHOLLIST,CASE TRACKING,SUPERVISORIAL DISTRICT 10,South of Market,Showplace Square/Potrero Hill (EN),40-X,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY","(37.75361946390, -122.39404182300)"
Downtown/Civic Center,APN 0334028,Mixres,PL FILED,06/25/2015,519 ELLIS ST,,2014.0506,Proposed new construction of 8-story building with 28 residential condo units above first floor and two commercial units on first floor.,,,,28,28,0,0,2541,5082,0,2541,0,0,0,0,0,0,2541,2541,0,0,04/03/2014,0,,,,TCHANG,CASE TRACKING,SUPERVISORIAL DISTRICT 6,Downtown,,80-T,RC-4,"RESIDENTIAL- COMMERCIAL, HIGH DENSITY","(37.78429820310, -122.41500379800)"
Marina,APN 0503021,Resident,BP FILED,04/22/2014,1463 LOMBARD ST,,2013.1022,,201404223881,APARTMENTS,TO ERECT 4 STORIES  9DWELLING UNITS TYPE 5 .,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/22/2014,0,,,,MWOODS,PERMIT TRACKING,SUPERVISORIAL DISTRICT 2,Marina,,40-X,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE","(37.80085891050, -122.42549628000)"
Downtown/Civic Center,APN 0836011,Mixres,PL FILED,01/02/2014,22 FRANKLIN ST,,2013.1005,"Demolish the  existing auto body shop building on the lot 012 and construct a 8-story, 85-foot tall mixed use building. Construct a new building would include 24 dwelling units and 2,120 gross square feet of retail space along Franklin.",201504093240,APARTMENTS,"TO ERECT 8 STORIES, NO BASEMENT, 28 UNITS RESIDENTIAL & COMMERCIAL BUILDING.",28,28,0,0,4323,4323,0,0,0,0,0,0,0,0,4323,4323,0,0,01/02/2014,0,Aidin Massoudi,Aidin Massoudi,415-922-0200,CGROB,CASE TRACKING,SUPERVISORIAL DISTRICT 5,Buena Vista,Market and Octavia / Downtown,85-X,C-3-G,DOWNTOWN- GENERAL,"(37.77472679970, -122.42060368400)"
Marina,APN 0459007,Resident,PL FILED,12/17/2015,1598 BAY ST,,2014-003157PRJ,To permit the conversion of a former Gas Station that is currently a vacant and underutilized lot into a four story 40' high residential building consisting of 28 units and 42 parking spots.,201512235830,APARTMENTS,ERECT 4 STORIES OF 28 DWELLING UNIT. MIX USE.,28,28,0,0,0,-440,0,0,0,0,0,0,0,0,0,-440,0,0,03/13/2015,-1,Presidio Development Partners,Mark Conroe,415-431-6506,BBENDIX,CASE TRACKING,SUPERVISORIAL DISTRICT 2,Marina,,40-X,NC-2,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE","(37.80337067070, -122.43305160700)"
Mission,APN 3555018,Mixres,PL FILED,05/11/2015,3140 16TH ST,,2014.1105,The proposed removal of an exisiting 1926 concrete automotive garage to be replaced with a 5-story mixed-use building (4 levels of housing over 1 level retail).,,,,28,28,0,0,6715,6715,0,0,0,0,0,0,0,0,6715,6715,0,0,07/10/2014,0,,,,SMENDRIN,CASE TRACKING,SUPERVISORIAL DISTRICT 8,Mission,Mission (EN),55-X,NCT,VALENCIA STREET NEIGHBORHOOD COMMERCIAL TRANSIT,"(37.76510622610, -122.42289112900)"
