NEIGHBORHOOD,BLKLOT,NAMEADDR,UNITS,UNITSNET,BESTDATE,BESTSTAT,EntitlementStatus,CASENO,DESCRIPT,PLN_REVIEW,PLN_REVIEWDATE,BPAPPLNO,PROPUSE,DBIDESC,DBI_ACTION,DBI_ACTDATE,NEW_REHAB,source,TOTAL_GSF,RET,MIPS,CIE,MED,PDR,VISIT,NET_GSF,CIENET,MEDNET,MIPSNET,PDRNET,RETNET,VISITNET,FILEDATE,LANDUSE,StandardAddress,alias,Entitlement,sort,sizecat,AFFORDABLE,AFFNET,zoning_gen,ZONING_SIM,ZONINGDISTRICTNAME,HEIGHTLIMIT,SPONSOR,CONTACT,Geography
Noe Valley,3651018,3822 24TH ST,5,5,02/21/2014 12:00:00 AM,BP FILED,false,2014.1408,"DEMOLISH 2 STORIES, SINGLE FAMILY DWELLING AND ERECT 2 STORIES, 1 BASEMENT, 5 UNITS RESIDENTIAL WITH MIXED USE BUILDING.",,,201402219037,APARTMENTS,"TO ERECT 2 STORIES, 1 BASEMENT, 5 UNITS RESIDENTIAL WITH MIXED USE BUILDING.",,,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,09/13/2014,Resident,3822 24th St,,false,BP Filed,2-9,0,0,Mixed Use,NCD,24TH STREET- NOE VALLEY NEIGHBORHOOD COMMERCIAL,40-X,,,"(37.751533999999999, -122.427711)"
Marina,0936020,3215 SCOTT ST,5,2,10/24/2014 12:00:00 AM,BP FILED,false,,,,,201410249901,APARTMENTS,CONVERT (E) 2ND FLR OFFICE/COMMERCIAL AREAS @ UNITS 3215B & 3215C TO TWO NEW RESIDENTIAL UNITS. ONE,,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,3125 Scott St,,false,BP Filed,2-9,0,0,Mixed Use,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",40-X,,,"(37.799460136100002, -122.441238144)"
Nob Hill,0212031,135 WETMORE ST,5,5,06/20/2013 12:00:00 AM,BP REINSTATED,true,,,,,201306038460,APARTMENTS,TO ERECT 5 STORIES OF FIVE DWELLINGS WITH GARAGE,REINSTATED,06/20/2013,N,PERMIT TRACKING,4000,0,4000,0,0,0,0,2000,0,0,2000,0,0,0,,Mixres,135 Wetmore St,,true,BP Approved/Issued/Re-Instated,2-9,0,0,Residential,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",65-A,,,"(37.794186099999997, -122.4106769)"
Haight Ashbury,1279048,598 BELVEDERE ST,5,4,08/18/2009 12:00:00 AM,BP FILED,false,,,,,200908185077,TOURIST HOTEL/MOTEL,"COMPLY WITH N.O.V# 200902623 - THIS IS FOR CHANGE OF USE. TO COMPLY WITH CONDITIONS, STIPULATION & S",,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,598 Belvedere St,,false,BP Filed,2-9,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.761958, -122.447681)"
Mission,3974020,455 POTRERO AV,5,2,02/09/2012 12:00:00 AM,PL FILED,false,2012.0131,Demo existing garage & construct a new residential duplex unit over basement level with 1 car-garage. Install sprinklers in building located in the rear of the lot.,,,,,,,,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/09/2012,Resident,455 Potrero Ave,,false,Planning Filed,2-9,0,0,Mixed Use,UMU,URBAN MIXED USE,40-X,Edward Morris,Edward Morris,"(37.763812899999998, -122.40720330000001)"
Russian Hill,0025024,888 NORTH POINT ST,5,5,12/16/2014 12:00:00 AM,BP FILED,false,2014-001729PRJ,,,,201412163783,APARTMENTS,CONTRUCT (N) 4-STORY MIXED-USED BUILDING (COMMERCIAL & RESIDENTIAL),,,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,888 North Point St,,false,BP Filed,2-9,0,0,Commercial,C-2,COMMUNITY BUSINESS,40-X,"Gabriel Ng + Architects, Inc.",,"(37.805745446800003, -122.421814231)"
South of Market,3730096,34 LANGTON ST,5,5,10/08/2013 12:00:00 AM,BP FILED,false,2014.0681,"Demolition of a 630sf industrial building and construction of a 5-unit 4-story 3,561sf building with 2 parking spaces.",,,201310088785,APARTMENTS,"TO ERECT 4 STORIES, NO BASEMENT, 5 UNITS APARTMENT, TYPE III-A BUILDING.",,,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/06/2014,Resident,34 Langton St,,false,BP Filed,2-9,0,0,Mixed Use,WMUG,WSOMA MIXED USE-GENERAL,65-X,,,"(37.777129000000002, -122.409282)"
Noe Valley,6506032,4171 24TH ST,5,5,10/16/2014 12:00:00 AM,BP FILED,false,,,,,201410169154,APARTMENTS,"CONSTRUCT NEW 4 STORIES, 1 BASEMENT, 5 UNITS MULTI-FAMILY RESIDENCE.",,,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,4171 24TH St,,false,BP Filed,2-9,0,0,Mixed Use,NCD,24TH STREET- NOE VALLEY NEIGHBORHOOD COMMERCIAL,40-X,,,"(37.750963900899997, -122.435538874)"
Ocean View,7113022,270 CAPITOL AV,4,4,03/19/2015 12:00:00 AM,CONSTRUCTION,true,,,,,201303041387,2 FAMILY DWELLING,Multiple Permits: TO ERECT 4 STORIES 2 DWELLING UNITS,REINFORCING STE,03/19/2015,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,270 Capitol Ave,,true,Construction,2-9,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.712674999999997, -122.458854)"
Visitacion Valley,5991001,300-308 UNIVERSITY ST.,4,4,08/28/2014 12:00:00 AM,PL FILED,false,2014.1345,New construction of four single-family dwellings on four vacant lots.,,,,,,,,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/28/2014,Resident,801 University St,,false,Planning Filed,2-9,0,0,Public,P,PUBLIC,OS,Jeremy  Schaub,Jeremy  Schaub,"(37.720030999999999, -122.411582)"
Mission,3549041,315 SOUTH VAN NESS AV,4,4,07/18/2014 12:00:00 AM,BP FILED,false,,,,,201407181625,APARTMENTS,ADD 3 STORIES OF RESIDENCES ON TOP WEST THIRD OF (E) BLDG. SEE TABLE OF AREAS A-0.02. FLOOR 1: (N) F,,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,315 South Van Ness Ave,,false,BP Filed,2-9,0,0,Mixed Use,UMU,URBAN MIXED USE,50-X,,,"(37.768286000000003, -122.417753)"
Mission,6517022,2881 MISSION ST,4,2,12/04/2012 12:00:00 AM,BP FILED,true,2014.0001,Variance request to the rear yard requirement to accomodate the change of density from two units to four over commercial use in NCT.,Approved,03/17/2015,201212045418,APARTMENTS,IN 2ND FLOOR CONVERT EXTG RESIDENTIAL UNIT INTO 2 ONE BEDROOM UNITS. IN 3RD FLOOR MODIFY EXTG BEDROO,,,N,CASE TRACKING,1484,220,873,0,0,391,0,-1010,0,0,-1010,0,0,0,01/02/2014,Mixres,2881 Mission St,,true,BP Filed,2-9,0,0,Neighborhood Commercial,NCT,MISSION STREET NEIGHBORHOOD COMMERCIAL TRANSIT,55-X,Dianda Bros Investments,Gordon Atkinson,"(37.750967000000003, -122.41841100000001)"
Noe Valley,3651017,3820 24TH STREET,4,4,10/31/2014 12:00:00 AM,CONSTRUCTION,true,2012.0923,New construction of a five-story mixed-use building.  Rear Yard Variance,Approved,09/14/2012,201207265893,APARTMENTS,ERECT 4-STORY TYPE V RESIDENTIAL OVER 1 COMMERCIAL BLDG.,NO ENTRY/NO PRO,10/31/2014,N,CASE TRACKING,3030,0,3030,0,0,0,0,3030,0,0,3030,0,0,0,07/19/2012,Mixres,3820 24th St,,true,Construction,2-9,0,0,Mixed Use,NCD,24TH STREET- NOE VALLEY NEIGHBORHOOD COMMERCIAL,40-X,Reza Khoshnevisan,Reza Khoshnevisan,"(37.751907000000003, -122.427988)"
Mission,4022022,685 FLORIDA ST,4,4,10/27/2014 12:00:00 AM,CONSTRUCTION,true,2012.1312,"6 story, 4 dwelling units, 68 foot height",CEQA,,201209200274,APARTMENTS,"ERECT 6 STORIES, TYPE 3, 4 RESIDENTIAL APTS BUILDING.",REINFORCING STE,10/27/2014,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11/25/2012,Resident,685 Florida St,,true,Construction,2-9,0,0,Mixed Use,UMU,URBAN MIXED USE,68-X,,,"(37.760708000000001, -122.410678)"
Western Addition,1118003,930 BAKER ST,4,4,07/30/2014 12:00:00 AM,BP FILED,false,2014.0398,Section 134 rear yard variance for placement of garage in rear yard fronting St. Joseph's. Add to new units to existing 2 unit building,,,201407302554,APARTMENTS,"ERECT 3-STORY, 4 DWELLING UNITS WITH 1 BASEMENT, TYPE 5, BUILDING.",,,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/15/2014,Resident,930 Baker St,,false,BP Filed,2-9,0,0,Residential,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",25-X,Ernie Selander,Ernie Selander,"(37.779857999999997, -122.441582)"
Bernal Heights,5640010,965 POWHATTAN AV,4,4,05/21/2014 12:00:00 AM,BP FILED,false,,,,,201405216382,1 FAMILY DWELLING,Multiple Permits,,,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,965 Powhattan Ave,,false,BP Filed,2-9,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,,,"(37.741329999999998, -122.41070499999999)"
Mission,3594009,2374 FOLSOM ST,4,2,05/10/2012 12:00:00 AM,CONSTRUCTION,true,2007.1209,CONVERT EXISTING 3-STORY 2-UNIT RESIDENTIAL BUILDING W/ 2 OFF-STREET PARKING SPACES TO 4-STORY 4-UNIT RESIDENTIAL BUILDING W/ 4 OFF-STREET PARKING SPACES.,CEQA,,200701292823,APARTMENTS,VERTICAL AND HORIZONTAL EXTENSION TO CONVERT A 3 STORY 2 UNIT RESIDENTIAL BUILDING INTO A 4 STORY 4 UNTS CONDEMINIUM BLDG WITH INTERNAL REMODELING,NO ENTRY/NO PRO,05/10/2012,,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/16/2007,Resident,2374 Folsom St,,true,Construction,2-9,0,0,Residential,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",55-X,,,"(37.759346000000001, -122.415088)"
Mission,3598028,651 DOLORES ST,4,4,12/12/2013 12:00:00 AM,PL APPROVED,true,2011.1385,Convert vacant church into four residential dwelling units.  Maintain existing exterior structure historic integrity with minor changes.  Convert basement into a garage.,Approved,12/12/2013,,,,,,,CASE TRACKING,0,0,0,0,0,0,0,2000,2000,0,0,0,0,0,06/21/2013,Resident,651 Dolores St,,true,PL Approved,2-9,0,0,Residential,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,John Goldman,John Goldman,"(37.758873199999996, -122.42563850000001)"
Noe Valley,3654040,3904 24TH ST,4,1,05/30/2014 12:00:00 AM,PL FILED,false,2013.0761,Conditional Use and Variance request for the alteration and expansion of an existing non-complying structure.,,,,,,,,N,CASE TRACKING,2397,2397,0,0,0,0,0,100,0,0,0,0,100,0,05/30/2014,Mixres,3904 24th St,,false,Planning Filed,Single Family,0,0,Mixed Use,NCD,24TH STREET- NOE VALLEY NEIGHBORHOOD COMMERCIAL,40-X,Joseph Butler,Joseph Butler,"(37.751522000000001, -122.429472)"
Mission,3534020,21 ROSEMONT PL,4,3,07/23/2014 12:00:00 AM,PL FILED,false,2014.1145,RENOVATE (E) 2 STORY SINGLE FAMILY HOME TO (4) UNIT - 4 STORY BUILDING OVER BASEMENT/GARAGE WITH (3) PARKING SPACES.,,,,,,,,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/23/2014,Resident,21 Rosemont Pl,,false,Planning Filed,2-9,0,0,Residential,RTO,RESIDENTIAL TRANSIT ORIENTED DISTRICT,40-X,Curtis Hollenbeck,Curtis Hollenbeck,"(37.768805, -122.42544100000001)"
Mission,3634025,25 ALVARADO ST,4,1,10/22/2014 12:00:00 AM,BP FILED,false,2014.1591,Variance and Conditional Use requests to legalize an existing dwelling unit within the rear yard.,,,201410229595,1 FAMILY DWELLING,LEGALIZE EXISTING UNPERMITTED DWELLING UNIT LOCATED ON 2ND FLOOR OF GARAGE STRUCTURE IN THE REAR OF,,,R,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/16/2014,Resident,25 Alvarado St,,false,BP Filed,Single Family,0,0,Residential,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,Kevin Clarke,Jace Levinson,"(37.754196289799999, -122.42190476099999)"
Mission,4209017,2830 24TH ST,4,3,07/11/2012 12:00:00 AM,BP FILED,false,2006.0934,CONSTRUCT FOUR RESIDENTIAL UNITS AND ONE COMMERCIAL RETAIL/LAUNDROMAT WITHOUT PARKING 161(J),CEQA,,201207114624,APARTMENTS,HORIZONTAL & VERTICAL ADDITION TO EXISTING BLDG. ADDITIONAL 3 UNITS TO THE EXISTING.,,,,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,08/10/2006,Resident,2830 24th St,,false,BP Filed,2-9,0,0,Neighborhood Commercial,NCT,24TH-MISSION NEIGHBORHOOD COMMERCIAL TRANSIT,45-X,Samuel Kwong,Samuel Kwong,"(37.752974000000002, -122.40875699999999)"
Mission,6531022,353 SAN JOSE AV,4,3,03/17/2015 12:00:00 AM,CONSTRUCTION,true,2010.1040,Demolish existing single-family dwelling and construct new 4-unit residence.,APPR/WC,05/03/2011,200712120285,APARTMENTS,CONSTRUCTION OF FOUR-STORY FOUR DWELLING UNITS.,"ROUGH FRAME, PA",03/17/2015,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,07/01/2010,Resident,353 San Jose Ave,,true,Construction,2-9,0,0,Residential,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY",40-X,,,"(37.749704999999999, -122.42118000000001)"
Western Addition,1050006A,1825 AND 1827 SCOTT STREET,4,2,10/23/2013 12:00:00 AM,PL APPROVED,true,2013.0436,"Convert two existing side by side single family residences into two, two family residences. At each residence the rear portion of the existing ground floor space will be converted & expanded to house the new apartments.",Approved,10/23/2013,,,,,,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/09/2013,Resident,1827 Scott St,,true,PL Approved,2-9,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,Patrick Perez,Patrick Perez,"(37.786737000000002, -122.438722)"
North Beach,0103021,146  JASPER PLACE,4,2,06/24/2013 12:00:00 AM,PL FILED,false,2013.0846,Construction of a new two unit residential building,,,,,,,,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06/24/2013,Resident,146 Jasper Pl,,false,Planning Filed,2-9,0,0,Residential,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY",40-X,Peter Wilson,Peter Wilson,"(37.801190699999999, -122.4085031)"
Haight Ashbury,1219008,1122 PAGE ST,4,1,05/31/2011 12:00:00 AM,BP ISSUED,true,2010.0114,ADD 1 ADDITIONAL UNIT.  4 UNITS TOTAL.,Approved,06/30/2010,201003037492,APARTMENTS,,ISSUED,05/31/2011,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02/23/2010,Resident,1122 Page St,,true,BP Approved/Issued/Re-Instated,Single Family,0,0,Residential,RM-2,"RESIDENTIAL- MIXED, MODERATE DENSITY",40-X,Troy Kashanipour,Troy Kashanipour,"(37.772165000000001, -122.439365)"
Western Addition,0851012,226 - 228 HAIGHT ST,4,1,09/23/2011 12:00:00 AM,PL APPROVED,true,2011.0484,Request for rear yard and exposure variances to add a dwelling unit to an existing three-unit residential building and to add off-street parking to the building.,GRANTED WITH CO,09/23/2011,201105035210,APARTMENTS,,,,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,05/10/2011,Resident,226 Haight St,,true,PL Approved,Single Family,0,0,Residential,RTO,RESIDENTIAL TRANSIT ORIENTED DISTRICT,40-X,Kurt Friede,Shawn  Gorman,"(37.772858900000003, -122.426785)"
Ocean View,7138056,115 PLYMOUTH AV,4,2,08/15/2014 12:00:00 AM,PL FILED,false,2014.1204,Demolition of two-family dwelling and construction of four-family dwelling.,,,,,,,,N,CASE TRACKING,1050,1050,0,0,0,0,0,1050,0,0,0,0,1050,0,08/15/2014,Mixres,115 Plymouth Ave,,false,Planning Filed,2-9,0,0,Mixed Use,NC-1,"NEIGHBORHOOD COMMERCIAL, CLUSTER",40-X,David Madfes,David Madfes,"(37.711708000000002, -122.455883)"
South of Market,3794024,144 KING ST,4,4,04/01/2015 12:00:00 AM,CONSTRUCTION,true,2004.1326,To demolish a non-contributing building in South End HD and construct new 131-room hotel with ground floor retail and no off-street parking. Seeking variances for parking and for restrictions on bay window dimensions (Sections 151 and 136).,,,201306280783,TOURIST HOTEL/MOTEL,ERECT 12 STORIES OF HOTEL WITH A RESTAURANT & 132 GUEST ROOMS.,REINFORCING STE,04/01/2015,,CASE TRACKING,70000,0,0,0,0,0,70000,64345,0,0,0,-5655,0,70000,06/21/2005,Mixres,144 King St,,true,Construction,2-9,0,0,Mixed Use,MUO,MIXED USE-OFFICE,105-F,David  Levy,David  Levy,"(37.778734, -122.391289)"
Marina,0935024,2429 CHESTNUT ST,4,2,09/06/2013 12:00:00 AM,BP FILED,false,,,,,201309066225,APARTMENTS,CONVERT UNIT 2429 FROM 1 UNIT INTO 3 UNITS. NO CHANGE TO UNIT 2431.,,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,2429 Chestnut St,,false,BP Filed,2-9,0,0,Mixed Use,NC-2,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE",40-X,,,"(37.799871000000003, -122.443268)"
Western Addition,0869007,127 BUCHANAN ST,4,4,08/07/2012 12:00:00 AM,BP FILED,false,,,,,201208076803,APARTMENTS,"TO ERECT 4 STORIES, 4 UNITS RESIDENTIAL BUILDING.",,,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,127 Buchanan St,,false,BP Filed,2-9,0,0,Residential,RTO,RESIDENTIAL TRANSIT ORIENTED DISTRICT,40-X,,,"(37.770983999999999, -122.42720799999999)"
Bayview,4645018,860 INNES AV,4,4,06/24/2013 12:00:00 AM,BP ISSUED,true,2004.1311,"Construct a vertical addition to accommodate three DUs, convert ground floor to a three-car garage, and change ground floor use from business to retail in an NC-2 (Small-Scale Neighborhood Commercial) District and a 40-X Height and Bulk District.",Withdrawn,04/07/2005,200402267273,APARTMENTS,"ADD 2 NEW FLOORS TO (E) STRUCTURE.RECONFIGURE (E)SPACE W/NEW ADDED SPACE TO CREATE 1 COMM'L SPACE,",ISSUED,06/24/2013,,PERMIT TRACKING,0,0,0,0,0,0,0,-2560,0,0,0,-2560,0,0,12/06/2004,Resident,860 Innes Ave,,true,BP Approved/Issued/Re-Instated,2-9,0,0,Mixed Use,NC-2,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE",40-X,,,"(37.731973000000004, -122.37538499999999)"
Outer Mission,6763001,95 NORDHOFF ST,4,3,10/10/2014 12:00:00 AM,PL FILED,false,2014.1490,"Demolish an existing single-family home, subdivide parcel into four parcels, and construct four three-story single-family homes.",,,,,,,,R,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10/10/2014,Resident,95 Nordhoff St,,false,Planning Filed,2-9,0,0,Residential,RH-1,"RESIDENTIAL- HOUSE, ONE FAMILY",40-X,Anthony Pantaleoni,Tony Pantaleoni,"(37.734254399800001, -122.441332702)"
Noe Valley,3656010,4024 24TH ST,4,2,05/20/2014 12:00:00 AM,BP FILED,false,2014.1426,Conditonal Use Authorization to expand an existing bar in excess of the principally permitted use size.,,,201405206229,APARTMENTS,"RENOVATION OF (E) MIXED-USE BLDG: REPAIR FIRE DAMAGE THROUGHOUT, STRUCTURAL UPGRADE, HORIZONTAL ADDI",,,R,PERMIT TRACKING,4194,4194,0,0,0,0,0,886,0,0,0,0,886,0,09/18/2014,Mixres,4024 24th St,,false,BP Filed,2-9,0,0,Mixed Use,NCD,24TH STREET- NOE VALLEY NEIGHBORHOOD COMMERCIAL,40-X,,,"(37.751303, -122.432152)"
Western Addition,0665002,1551  FRANKLIN ST,4,1,06/30/2014 12:00:00 AM,BP ISSUED,true,2011.0262,add 1 additional residential unit to a 3-unit 3.5 story building.,Approved,06/06/2011,201106228677,APARTMENTS,,ISSUED,06/30/2014,N,CASE TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,04/25/2011,Resident,1551 Franklin St,,true,BP Approved/Issued/Re-Instated,Single Family,0,0,Mixed Use,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",130-E,Marc Ojanen,Marc Ojanen,"(37.788964999999997, -122.423985)"
Inner Sunset,1738021,1126 IRVING ST,4,4,08/21/2014 12:00:00 AM,BP FILED,false,,,,,201408214436,APARTMENTS,"TO ERECT 4 STORIES, 3 UNITS RESIDENTIAL WITH RETAIL BUILDING.",,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,1126 Irving St,,false,BP Filed,2-9,0,0,Mixed Use,NCD,INNER SUNSET NEIGHBORHOOD COMMERCIAL,40-X,,,"(37.763829999999999, -122.469674)"
Western Addition,0754012,1022 PIERCE ST,4,2,02/27/2015 12:00:00 AM,BP ISSUED,true,2013.0532,,,,201303222896,APARTMENTS,"BUILDING CURRENTLY LEGAL FOR 2 UNITS BUT USED AS A 3-UNIT APT. LEGALIZE ONE (E) UNIT & ADD 1,188 SQ",ISSUED,02/27/2015,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,1022 Pierce St,,true,BP Approved/Issued/Re-Instated,2-9,0,0,Residential,RM-3,"RESIDENTIAL- MIXED, MEDIUM DENSITY",40-X,,,"(37.779564700000002, -122.4353163)"
Inner Richmond,1435017,3932 GEARY BL,4,2,07/08/2011 12:00:00 AM,BP FILED,false,,,,,201107089769,APARTMENTS,EXISTING TWO OFFICE UNITS ON 3RD FL TO BE CONVERTED BACK TO RESIDENTIAL USE. NEW STUD WALLS AS SHOWN,,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,3932 Geary Blvd,,false,BP Filed,2-9,0,0,Mixed Use,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",40-X,,,"(37.781447, -122.46167800000001)"
Outer Richmond,1524039,5617 GEARY BL,4,4,10/31/2014 12:00:00 AM,BP FILED,false,,,,,201410310450,APARTMENTS,"DIVIDE INTO TWO STORY IN EXISTING BUILDING, ADDITIONAL TWO STORIES ADD ON BECOME 4 STORY BUILD. 2ND",,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,5617 Geary Blvd,,false,BP Filed,2-9,0,0,Mixed Use,NC-3,"NEIGHBORHOOD COMMERCIAL, MODERATE SCALE",40-X,,,"(37.780008145799997, -122.479797921)"
Bernal Heights,6692002,3808 MISSION ST,4,2,01/20/2011 12:00:00 AM,BP FILED,false,,,,,201101208700,APARTMENTS,TO CORRECT VIOLATION#201066546 AND TO,,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,3808 Mission St,,false,BP Filed,2-9,0,0,Mixed Use,NC-2,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE",40-X,,,"(37.735720700000002, -122.4246179)"
Marina,0516028A,136 PIXLEY ST,4,4,01/29/2013 12:00:00 AM,CONSTRUCTION,true,2011.0054,,,,201009080449,2 FAMILY DWELLING,Multiple Permits,OK TO COVER,01/29/2013,N,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,136 Pixley St,,true,Construction,2-9,0,0,Residential,RH-3,"RESIDENTIAL- HOUSE, THREE FAMILY",40-X,,,"(37.798629200000001, -122.43474310000001)"
Western Addition,1179024A,1631 MCALLISTER ST,4,4,12/09/2014 12:00:00 AM,BP ISSUED,true,2014.0226,"Construction of four-story 6,527 sf building containing four residences and four vehicle parking spaces.",,,201311041047,2 FAMILY DWELLING,ERECT NEW 4-UNIT RESIDENTIAL BLDG,ISSUED,12/09/2014,N,PERMIT TRACKING,0,0,0,0,0,0,0,-7000,-7000,0,0,0,0,0,02/12/2014,Resident,1631 McAllister St,,true,BP Approved/Issued/Re-Instated,2-9,0,0,Mixed Use,NCD,DIVISADERO STREET NEIGHBORHOOD COMMERCIAL DISTRICT,40-X,,,"(37.777768000000002, -122.438672)"
Western Addition,0686040,1656 POST ST,4,4,09/23/2014 12:00:00 AM,BP FILED,false,,,,,201409237117,APARTMENTS,"CHANGE OF USE: CONVERTING (E) 2ND FLOOR RETAIL SPACE (3,475 SF) TO FOUR RESIDENTIAL APARTMENT UNITS.",,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,1656 Post St,,false,BP Filed,2-9,0,0,Mixed Use,NC-2,"NEIGHBORHOOD COMMERCIAL, SMALL SCALE",50-X,,,"(37.785772000000001, -122.428996)"
Mission,3637010,1150 SOUTH VAN NESS AV,3,1,05/20/2014 12:00:00 AM,BP APPROVED,true,,,,,201307252822,APARTMENTS,INSTALL NEW DWELLING UNIT IN EMPTY GROUND FL STORAGE PARKING AREA. REMOVE EXISTING GARAGE DOOR AND R,APPROVED,05/20/2014,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,1150 South Van Ness Ave,,true,BP Approved/Issued/Re-Instated,Single Family,0,0,Residential,RTO-M,RESIDENTIAL TRANSIT ORIENTED- MISSION,40-X,,,"(37.754814000000003, -122.41658099999999)"
Western Addition,1152018,1880 GOLDEN GATE AV,3,2,12/23/2014 12:00:00 AM,BP ISSUED,true,,,,,201210041365,APARTMENTS,HORIZONTAL & VERTICAL ADDITION.  4 STORIES OVER BASEMENT. CONVERT SINGLE FAMILY DWELLING TO 3 FAMILY,ISSUED,12/23/2014,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,1880 Golden Gate Ave,,true,BP Approved/Issued/Re-Instated,2-9,0,0,Residential,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",40-X,,,"(37.778579000000001, -122.44152800000001)"
Outer Richmond,1456003,423 24TH AV,3,2,05/15/2014 12:00:00 AM,BP FILED,false,,,,,201405155866,APARTMENTS,REMODEL OF THE ENTIRE RES'D BLDG TO CONVERT A ONE UNIT RES'D BLDG INTO A THREE DWELLING UNIT RES'D B,,,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,423 24th Ave,,false,BP Filed,2-9,0,0,Residential,RM-1,"RESIDENTIAL- MIXED, LOW DENSITY",40-X,,,"(37.781627, -122.48370799999999)"
Potrero Hill,4003006,238 MISSOURI ST,3,1,11/05/2014 12:00:00 AM,BP ISSUED,true,,,,,201310038371,APARTMENTS,"4TH STORY ADDITION, 2 STORY ADDITION W/ROOF DECK AT REAR YARD, ADDITION OF 3RD UNIT AT 1ST FLR(BASEM",ISSUED,11/05/2014,R,PERMIT TRACKING,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Resident,238 Missouri St,,true,BP Approved/Issued/Re-Instated,Single Family,0,0,Residential,RH-2,"RESIDENTIAL- HOUSE, TWO FAMILY",40-X,,,"(37.763325000000002, -122.396542)"
